,Gender,Ever_Married,Age,Graduated,Work_Experience,Family_Size,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Spending_Score_High,Spending_Score_Low,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
0,0,1,36,1,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,1,37,1,8.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,69,0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,1,1,59,0,11.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4,0,0,19,0,3.0,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
5,1,1,47,1,0.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,1,1,61,1,5.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,0,1,47,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,1,50,1,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0,19,0,0.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
10,1,0,22,0,0.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
11,0,0,22,0,0.0,6.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
12,1,1,50,1,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,1,0,27,0,8.0,3.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
14,1,0,18,0,0.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,0,1,61,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,0,1,20,1,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17,1,1,45,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1,1,55,1,8.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19,0,1,88,1,1.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
20,1,1,63,0,3.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21,1,1,69,0,3.0,3.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
22,1,0,42,1,0.0,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23,1,1,79,0,3.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
24,0,1,35,1,9.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
25,1,1,27,0,5.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26,1,1,52,1,3.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,0,0,29,1,0.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
28,0,1,79,0,1.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
29,1,1,87,1,3.0,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
30,1,1,89,0,1.0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
31,1,1,63,1,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
